sent_text,lemmas_and_tags,link,author,name
"Как они не понимают, что рискуют самым ценным - жизнью Гарри?","[['как', 'CONJ'], ['они', 'NPRO'], ['не', 'PRCL'], ['понимать', 'VERB'], [',', 'None'], ['что', 'CONJ'], ['рисковать', 'VERB'], ['самый', 'ADJ'], ['ценный', 'ADJ'], ['-', 'None'], ['жизнь', 'NOUN'], ['гарри', 'NOUN'], ['?', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Лили прикусила губу, взглянула на упрямо выставившего подбородок мужа...","[['лить', 'VERB'], ['прикусить', 'VERB'], ['губа', 'NOUN'], [',', 'None'], ['взглянуть', 'VERB'], ['на', 'PREP'], ['упрямо', 'ADVB'], ['выставить', 'PRT'], ['подбородок', 'NOUN'], ['муж', 'NOUN'], ['...', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
- Это твой окончательный ответ? - осведомилась она.,"[['-', 'None'], ['это', 'PRCL'], ['твой', 'ADJ'], ['окончательный', 'ADJ'], ['ответ', 'NOUN'], ['?', 'None'], ['-', 'None'], ['осведомиться', 'VERB'], ['она', 'NPRO'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Будь Джеймс повнимательнее, он бы узнал стальные нотки, присущие бывшей старосте Гриффиндора, Лили Эванс, с которой  даже слизеринцы боялись связываться.","[['быть', 'VERB'], ['джеймс', 'NOUN'], ['внимательный', 'COMP'], [',', 'None'], ['он', 'NPRO'], ['бы', 'PRCL'], ['узнать', 'VERB'], ['стальной', 'ADJ'], ['нотка', 'NOUN'], [',', 'None'], ['присущий', 'ADJ'], ['бывший', 'ADJ'], ['староста', 'NOUN'], ['гриффиндор', 'NOUN'], [',', 'None'], ['лить', 'VERB'], ['эванс', 'NOUN'], [',', 'None'], ['с', 'PREP'], ['который', 'ADJ'], ['даже', 'PRCL'], ['слизеринец', 'NOUN'], ['бояться', 'VERB'], ['связываться', 'VERB'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Только наивные считали, что один лишь Северус придумывает темные заклинания - на воображение студентка Эванс никогда не жаловалась.","[['только', 'ADVB'], ['наивный', 'ADJ'], ['считать', 'VERB'], [',', 'None'], ['что', 'CONJ'], ['один', 'ADJ'], ['лишь', 'PRCL'], ['северусый', 'ADJ'], ['придумывать', 'VERB'], ['тёмный', 'ADJ'], ['заклинание', 'NOUN'], ['-', 'None'], ['на', 'PREP'], ['воображение', 'NOUN'], ['студентка', 'NOUN'], ['эванс', 'NOUN'], ['никогда', 'ADVB'], ['не', 'PRCL'], ['жаловаться', 'VERB'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"- Да, это мой окончательный ответ.","[['-', 'None'], ['да', 'PRCL'], [',', 'None'], ['это', 'PRCL'], ['мыть', 'VERB'], ['окончательный', 'ADJ'], ['ответ', 'NOUN'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
Мы остаемся! - гордо выпрямился Джеймс.,"[['мы', 'NPRO'], ['оставаться', 'VERB'], ['!', 'None'], ['-', 'None'], ['гордо', 'ADVB'], ['выпрямиться', 'VERB'], ['джеймс', 'NOUN'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"- Прости, ты не оставил мне выбора.","[['-', 'None'], ['простить', 'VERB'], [',', 'None'], ['ты', 'NPRO'], ['не', 'PRCL'], ['оставить', 'VERB'], ['я', 'NPRO'], ['выбор', 'NOUN'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Мы уезжаем, - Лили взмахнула палочкой, и муж, парализованный, упал на пол.  Женщина отлевитировала его к стене, связала невидимыми путами, закрепила их, чтобы точно не распались, если вдруг она отвлечется.","[['мы', 'NPRO'], ['уезжать', 'VERB'], [',', 'None'], ['-', 'None'], ['лить', 'VERB'], ['взмахнуть', 'VERB'], ['палочка', 'NOUN'], [',', 'None'], ['и', 'CONJ'], ['муж', 'NOUN'], [',', 'None'], ['парализовать', 'PRT'], [',', 'None'], ['упасть', 'VERB'], ['на', 'PREP'], ['пол', 'NOUN'], ['.', 'None'], ['женщина', 'NOUN'], ['отлевитировать', 'VERB'], ['он', 'NPRO'], ['к', 'PREP'], ['стена', 'NOUN'], [',', 'None'], ['связать', 'VERB'], ['невидимый', 'ADJ'], ['путы', 'NOUN'], [',', 'None'], ['закрепить', 'VERB'], ['они', 'NPRO'], [',', 'None'], ['чтобы', 'CONJ'], ['точно', 'ADVB'], ['не', 'PRCL'], ['распалиться', 'VERB'], [',', 'None'], ['если', 'CONJ'], ['вдруг', 'ADVB'], ['она', 'NPRO'], ['отвлечься', 'VERB'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Повинуясь магии, со второго этажа слетела темно-красная дорожная сумка с длинной ручкой.","[['повиноваться', 'GRND'], ['магия', 'NOUN'], [',', 'None'], ['с', 'PREP'], ['второй', 'ADJ'], ['этаж', 'NOUN'], ['слететь', 'VERB'], ['тёмно-красный', 'ADJ'], ['дорожный', 'ADJ'], ['сумка', 'NOUN'], ['с', 'PREP'], ['длинный', 'ADJ'], ['ручка', 'NOUN'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Лежащий у стены Джеймс расширенными глазами наблюдал, как Лили терпеливо и методично укладывает в нее вещи, страховые, паспорта, денежную заначку.","[['лежать', 'PRT'], ['у', 'PREP'], ['стена', 'NOUN'], ['джеймс', 'NOUN'], ['расширить', 'PRT'], ['глаз', 'NOUN'], ['наблюдать', 'VERB'], [',', 'None'], ['как', 'CONJ'], ['лить', 'VERB'], ['терпеливо', 'ADVB'], ['и', 'CONJ'], ['методично', 'ADVB'], ['укладывать', 'VERB'], ['в', 'PREP'], ['она', 'NPRO'], ['вещь', 'NOUN'], [',', 'None'], ['страховой', 'ADJ'], [',', 'None'], ['паспорт', 'NOUN'], [',', 'None'], ['денежный', 'ADJ'], ['заначка', 'NOUN'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Входная дверь распахнулась, в дом влетел Бродяга.","[['входной', 'ADJ'], ['дверь', 'NOUN'], ['распахнуться', 'VERB'], [',', 'None'], ['в', 'PREP'], ['дом', 'NOUN'], ['влететь', 'VERB'], ['бродяга', 'NOUN'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"- Сохатый, мы...","[['-', 'None'], ['сохатый', 'ADJ'], [',', 'None'], ['мы', 'NPRO'], ['...', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
Сириус прилег рядом с Джеймсом по взмаху палочки миссис Поттер.,"[['сириус', 'NOUN'], ['прилечь', 'VERB'], ['рядом', 'ADVB'], ['с', 'PREP'], ['джеймс', 'NOUN'], ['по', 'PREP'], ['взмах', 'NOUN'], ['палочка', 'NOUN'], ['миссис', 'NOUN'], ['поттер', 'NOUN'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Лили задумчиво обвела взглядом комнату, проверяя, все ли взяла, ничего не забыла.","[['лить', 'VERB'], ['задумчиво', 'ADVB'], ['обвести', 'VERB'], ['взгляд', 'NOUN'], ['комната', 'NOUN'], [',', 'None'], ['проверять', 'GRND'], [',', 'None'], ['всё', 'PRCL'], ['ли', 'PRCL'], ['взять', 'VERB'], [',', 'None'], ['ничто', 'NPRO'], ['не', 'PRCL'], ['забыть', 'VERB'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"- Джеймс, прости, но на тебя документы оформить было сложно, поэтому поедешь в багаже, - мило улыбнулась ведьма.","[['-', 'None'], ['джеймс', 'NOUN'], [',', 'None'], ['простить', 'VERB'], [',', 'None'], ['но', 'CONJ'], ['на', 'PREP'], ['ты', 'NPRO'], ['документ', 'NOUN'], ['оформить', 'VERB'], ['быть', 'VERB'], ['сложно', 'ADVB'], [',', 'None'], ['поэтому', 'ADVB'], ['поехать', 'VERB'], ['в', 'PREP'], ['багаж', 'NOUN'], [',', 'None'], ['-', 'None'], ['мило', 'ADVB'], ['улыбнуться', 'VERB'], ['ведьма', 'NOUN'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
В следующий момент на месте мужа квакала огромная жаба.,"[['в', 'PREP'], ['следующий', 'ADJ'], ['момент', 'NOUN'], ['на', 'PREP'], ['место', 'NOUN'], ['муж', 'NOUN'], ['квакать', 'VERB'], ['огромный', 'ADJ'], ['жаба', 'NOUN'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Лили посадила ее в специально зачарованную банку, подписала - чтобы не перепутать.","[['лить', 'VERB'], ['посадить', 'VERB'], ['она', 'NPRO'], ['в', 'PREP'], ['специально', 'ADVB'], ['зачаровать', 'PRT'], ['банк', 'NOUN'], [',', 'None'], ['подписать', 'VERB'], ['-', 'None'], ['чтобы', 'CONJ'], ['не', 'PRCL'], ['перепутать', 'VERB'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
И с улыбкой повернулась к крестному своего сына.,"[['и', 'CONJ'], ['с', 'PREP'], ['улыбка', 'NOUN'], ['повернуться', 'VERB'], ['к', 'PREP'], ['крестный', 'ADJ'], ['свой', 'ADJ'], ['сын', 'NOUN'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
У Сириуса предательски заныло где-то в желудке.,"[['у', 'PREP'], ['сириус', 'NOUN'], ['предательски', 'ADVB'], ['заныть', 'VERB'], ['где-то', 'ADVB'], ['в', 'PREP'], ['желудок', 'NOUN'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"- Ты следующий, Бродяга.","[['-', 'None'], ['ты', 'NPRO'], ['следующий', 'ADJ'], [',', 'None'], ['бродяга', 'NOUN'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Недостаток Годриковой впадины в том, что отсюда нельзя сбежать, не попав на глаза соседям, что в случае Лили было некстати.","[['недостаток', 'NOUN'], ['годрикова', 'NOUN'], ['впадина', 'NOUN'], ['в', 'PREP'], ['тот', 'ADJ'], [',', 'None'], ['что', 'CONJ'], ['отсюда', 'ADVB'], ['нельзя', 'PRED'], ['сбежать', 'VERB'], [',', 'None'], ['не', 'PRCL'], ['попасть', 'GRND'], ['на', 'PREP'], ['глаз', 'NOUN'], ['сосед', 'NOUN'], [',', 'None'], ['что', 'CONJ'], ['в', 'PREP'], ['случай', 'NOUN'], ['лить', 'VERB'], ['быть', 'VERB'], ['некстати', 'ADVB'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"К счастью, имелся у нее запасной вариант.","[['к', 'PREP'], ['счастие', 'NOUN'], [',', 'None'], ['иметься', 'VERB'], ['у', 'PREP'], ['она', 'NPRO'], ['запасный', 'ADJ'], ['вариант', 'NOUN'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"- Леди Вальбурга, это Лили Поттер.","[['-', 'None'], ['леди', 'NOUN'], ['вальбург', 'NOUN'], [',', 'None'], ['это', 'PRCL'], ['лить', 'VERB'], ['поттер', 'NOUN'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"У меня есть для вас приятный сюрприз, не могли бы вы открыть мне доступ, - настроить камин было делом пары минут.","[['у', 'PREP'], ['я', 'NPRO'], ['есть', 'VERB'], ['для', 'PREP'], ['вы', 'NPRO'], ['приятный', 'ADJ'], ['сюрприз', 'NOUN'], [',', 'None'], ['не', 'PRCL'], ['мочь', 'VERB'], ['бы', 'PRCL'], ['вы', 'NPRO'], ['открыть', 'VERB'], ['я', 'NPRO'], ['доступ', 'NOUN'], [',', 'None'], ['-', 'None'], ['настроить', 'VERB'], ['камин', 'NOUN'], ['быть', 'VERB'], ['дело', 'NOUN'], ['пара', 'NOUN'], ['минута', 'NOUN'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Любопытство пересилило в темной ведьме осторожность, так что через минуту Лили уже стояла в гостиной особняка на площади Гриммо с чемоданом, Гарри и двумя банками с жабами под мышкой.","[['любопытство', 'NOUN'], ['пересилить', 'VERB'], ['в', 'PREP'], ['тёмный', 'ADJ'], ['ведьма', 'NOUN'], ['осторожность', 'NOUN'], [',', 'None'], ['так', 'CONJ'], ['что', 'CONJ'], ['через', 'PREP'], ['минута', 'NOUN'], ['лить', 'VERB'], ['уже', 'ADVB'], ['стоять', 'VERB'], ['в', 'PREP'], ['гостиная', 'NOUN'], ['особняк', 'NOUN'], ['на', 'PREP'], ['площадь', 'NOUN'], ['гриммо', 'NOUN'], ['с', 'PREP'], ['чемодан', 'NOUN'], [',', 'None'], ['гарри', 'NOUN'], ['и', 'CONJ'], ['два', 'NUMR'], ['банк', 'NOUN'], ['с', 'PREP'], ['жаба', 'NOUN'], ['под', 'PREP'], ['мышка', 'NOUN'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"- Это вам, - протянула одну из банок.","[['-', 'None'], ['это', 'PRCL'], ['вы', 'NPRO'], [',', 'None'], ['-', 'None'], ['протянуть', 'VERB'], ['один', 'ADJ'], ['из', 'PREP'], ['банка', 'NOUN'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"На лице леди темного семейства отразилось недоумение, она посмотрела на подарок, на дарительницу, еще раз на подарок.","[['на', 'PREP'], ['лицо', 'NOUN'], ['леди', 'NOUN'], ['тёмный', 'ADJ'], ['семейство', 'NOUN'], ['отразиться', 'VERB'], ['недоумение', 'NOUN'], [',', 'None'], ['она', 'NPRO'], ['посмотреть', 'VERB'], ['на', 'PREP'], ['подарок', 'NOUN'], [',', 'None'], ['на', 'PREP'], ['дарительница', 'NOUN'], [',', 'None'], ['ещё', 'PRCL'], ['раз', 'ADVB'], ['на', 'PREP'], ['подарок', 'NOUN'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Крупная, влажная от слизи жаба возмущенно надувала горловой пузырь и пыталась выбраться наружу, скользя по прозрачным стенкам.","[['крупный', 'ADJ'], [',', 'None'], ['влажный', 'ADJ'], ['от', 'PREP'], ['слизь', 'NOUN'], ['жаба', 'NOUN'], ['возмущенно', 'ADVB'], ['надувать', 'VERB'], ['горловой', 'ADJ'], ['пузырь', 'NOUN'], ['и', 'CONJ'], ['пытаться', 'VERB'], ['выбраться', 'VERB'], ['наружу', 'ADVB'], [',', 'None'], ['скользить', 'GRND'], ['по', 'PREP'], ['прозрачный', 'ADJ'], ['стенка', 'NOUN'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
Лили терпеливо ожидала.,"[['лить', 'VERB'], ['терпеливо', 'ADVB'], ['ожидать', 'VERB'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
Озарение возникло неожиданно и быстро.,"[['озарение', 'NOUN'], ['возникнуть', 'VERB'], ['неожиданно', 'ADVB'], ['и', 'CONJ'], ['быстро', 'ADVB'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
Леди Вальбурга вгляделась в подарок.,"[['леди', 'NOUN'], ['вальбург', 'NOUN'], ['вглядеться', 'VERB'], ['в', 'PREP'], ['подарок', 'NOUN'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"- Это то, что я думаю?","[['-', 'None'], ['это', 'PRCL'], ['то', 'CONJ'], [',', 'None'], ['что', 'CONJ'], ['я', 'NPRO'], ['думать', 'VERB'], ['?', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"- Да, дорогой крестный моего сына, - с ла-асковой улыбкой подтвердила миссис Поттер.","[['-', 'None'], ['да', 'PRCL'], [',', 'None'], ['дорога', 'NOUN'], ['крестный', 'ADJ'], ['мой', 'ADJ'], ['сын', 'NOUN'], [',', 'None'], ['-', 'None'], ['с', 'PREP'], ['ла-аскова', 'NOUN'], ['улыбка', 'NOUN'], ['подтвердить', 'VERB'], ['миссис', 'NOUN'], ['поттер', 'NOUN'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"- Теперь вы сможете запереть его в подвале и читать лекции, сколько душе вздумается.","[['-', 'None'], ['теперь', 'ADVB'], ['вы', 'NPRO'], ['смочь', 'VERB'], ['запереть', 'VERB'], ['он', 'NPRO'], ['в', 'PREP'], ['подвал', 'NOUN'], ['и', 'CONJ'], ['читать', 'VERB'], ['лекция', 'NOUN'], [',', 'None'], ['сколько', 'CONJ'], ['душа', 'NOUN'], ['вздуматься', 'VERB'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Всегда считала, что ему не хватает материнской любви и ласки.","[['всегда', 'ADVB'], ['считать', 'VERB'], [',', 'None'], ['что', 'CONJ'], ['он', 'NPRO'], ['не', 'PRCL'], ['хватать', 'VERB'], ['материнский', 'ADJ'], ['любовь', 'NOUN'], ['и', 'CONJ'], ['ласка', 'NOUN'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
- Но ведь он превратится обратно...,"[['-', 'None'], ['но', 'CONJ'], ['ведь', 'PRCL'], ['он', 'NPRO'], ['превратиться', 'VERB'], ['обратно', 'ADVB'], ['...', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"- Это цикличное проклятие, оно подпитывается от окружающего мира.","[['-', 'None'], ['это', 'PRCL'], ['цикличный', 'ADJ'], ['проклятие', 'NOUN'], [',', 'None'], ['оно', 'NPRO'], ['подпитываться', 'VERB'], ['от', 'PREP'], ['окружать', 'PRT'], ['мир', 'NOUN'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Главное, держать Сириуса поблизости от какого-нибудь магического источника.","[['главный', 'ADJ'], [',', 'None'], ['держать', 'VERB'], ['сириус', 'NOUN'], ['поблизости', 'ADVB'], ['от', 'PREP'], ['какой-нибудь', 'ADJ'], ['магический', 'ADJ'], ['источник', 'NOUN'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
Улыбка леди Вальбурги стала многообещающей.,"[['улыбка', 'NOUN'], ['леди', 'NOUN'], ['вальбург', 'NOUN'], ['стать', 'VERB'], ['многообещающий', 'ADJ'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Жаба забилась в приступе паники, но выбраться так и не сумела.","[['жаба', 'NOUN'], ['забиться', 'VERB'], ['в', 'PREP'], ['приступ', 'NOUN'], ['паника', 'NOUN'], [',', 'None'], ['но', 'CONJ'], ['выбраться', 'VERB'], ['так', 'CONJ'], ['и', 'CONJ'], ['не', 'PRCL'], ['суметь', 'VERB'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"- Разумеется, - леди Вальбурга погладила банку.","[['-', 'None'], ['разумеется', 'CONJ'], [',', 'None'], ['-', 'None'], ['леди', 'NOUN'], ['вальбург', 'NOUN'], ['погладить', 'VERB'], ['банк', 'NOUN'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"- У меня никогда не доставало сил удержать Сириуса и заставить дослушать до конца, но теперь...","[['-', 'None'], ['у', 'PREP'], ['я', 'NPRO'], ['никогда', 'ADVB'], ['не', 'PRCL'], ['доставать', 'VERB'], ['сила', 'NOUN'], ['удержать', 'VERB'], ['сириус', 'NOUN'], ['и', 'CONJ'], ['заставить', 'VERB'], ['дослушать', 'VERB'], ['до', 'PREP'], ['конец', 'NOUN'], [',', 'None'], ['но', 'CONJ'], ['теперь', 'ADVB'], ['...', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Кстати, как я понимаю, это ваш любимый супруг? - кивнула она на вторую емкость.","[['кстати', 'CONJ'], [',', 'None'], ['как', 'CONJ'], ['я', 'NPRO'], ['понимать', 'VERB'], [',', 'None'], ['это', 'PRCL'], ['ваш', 'ADJ'], ['любимый', 'ADJ'], ['супруг', 'NOUN'], ['?', 'None'], ['-', 'None'], ['кивнуть', 'VERB'], ['она', 'NPRO'], ['на', 'PREP'], ['второй', 'ADJ'], ['ёмкость', 'NOUN'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
- Именно так.,"[['-', 'None'], ['именно', 'PRCL'], ['так', 'CONJ'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Планирую улететь в Америку, но, увы, у Джеймса нет документов, поэтому придется перевозить его в багажном отделении.","[['планировать', 'VERB'], ['улететь', 'VERB'], ['в', 'PREP'], ['америка', 'NOUN'], [',', 'None'], ['но', 'CONJ'], [',', 'None'], ['увы', 'INTJ'], [',', 'None'], ['у', 'PREP'], ['джеймс', 'NOUN'], ['нет', 'PRED'], ['документ', 'NOUN'], [',', 'None'], ['поэтому', 'ADVB'], ['прийтись', 'VERB'], ['перевозить', 'VERB'], ['он', 'NPRO'], ['в', 'PREP'], ['багажный', 'ADJ'], ['отделение', 'NOUN'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
Леди посмотрела на свою банку.,"[['леди', 'NOUN'], ['посмотреть', 'VERB'], ['на', 'PREP'], ['свой', 'ADJ'], ['банк', 'NOUN'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
На вид жабы были идентичны.,"[['на', 'PREP'], ['вид', 'NOUN'], ['жаба', 'NOUN'], ['быть', 'VERB'], ['идентичный', 'ADJ'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"- Вы уверены, что не перепутали...","[['-', 'None'], ['вы', 'NPRO'], ['уверить', 'PRT'], [',', 'None'], ['что', 'CONJ'], ['не', 'PRCL'], ['перепутать', 'VERB'], ['...', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
